name,location,link-restaurant,link-field
Ankkuri,Kirkkonummi,https://menu.leijonacatering.fi/AromieMenus/FI/Default/Leijona/AnkkuriUpinniemi/api/Common/Restaurant/GetRssFeed/f7f85df9-33d8-4469-976c-79634f7374ce/1,https://menu.leijonacatering.fi/AromieMenus/FI/Default/Leijona/AnkkuriUpinniemi/api/Common/Restaurant/GetRssFeed/4c810658-b6c4-4ef3-a686-ac598dc874b6/1
Cirrus,Siilinjärvi,https://menu.leijonacatering.fi/AromieMenus/FI/Default/Leijona/CirrusKuopio/api/Common/Restaurant/GetRssFeed/d1c1acfb-3b7e-4046-8567-a7e953cad442/1,https://menu.leijonacatering.fi/AromieMenus/FI/Default/Leijona/CirrusKuopio/api/Common/Restaurant/GetRssFeed/54286208-2815-4d19-b507-6ecad3174664/1
Creutz,Raasepori,https://menu.leijonacatering.fi/AromieMenus/FI/Default/Leijona/CreutzDragsvik/api/Common/Restaurant/GetRssFeed/58666569-bd95-42c7-8d3b-7c8fffea819a/1,https://menu.leijonacatering.fi/AromieMenus/FI/Default/Leijona/CreutzDragsvik/api/Common/Restaurant/GetRssFeed/11cbe35e-517a-444b-b30f-72541179cee1/1
Falkonetti,Kankaanpää,https://menu.leijonacatering.fi/AromieMenus/FI/Default/Leijona/FalkonettiNiinisalo/api/Common/Restaurant/GetRssFeed/15f995bb-ffdd-4409-81cb-a365251be564/1,https://menu.leijonacatering.fi/AromieMenus/FI/Default/Leijona/FalkonettiNiinisalo/api/Common/Restaurant/GetRssFeed/32c8389d-eec3-4de0-9335-8b9b528b457d/1
Hilma,Helsinki,https://menu.leijonacatering.fi/AromieMenus/FI/Default/Leijona/HilmaSuomenlinna/api/Common/Restaurant/GetRssFeed/6b20be5f-8d08-4db5-8b72-9ed10639b12a/1,https://menu.leijonacatering.fi/AromieMenus/FI/Default/Leijona/HilmaSuomenlinna/api/Common/Restaurant/GetRssFeed/39af7387-28d4-44b5-88df-c55b50b1d4c4/1
Hoikanhovi,Kajaani,https://menu.leijonacatering.fi/AromieMenus/FI/Default/Leijona/HoikanhoviKajaani/api/Common/Restaurant/GetRssFeed/f27aacc5-6165-40f6-9dea-a184c290b129/1,https://menu.leijonacatering.fi/AromieMenus/FI/Default/Leijona/HoikanhoviKajaani/api/Common/Restaurant/GetRssFeed/3faa181a-bae0-4cac-a9b4-7880a3157b6b/1
Ignatius,Helsinki,https://menu.leijonacatering.fi/AromieMenus/FI/Default/Leijona/IgnatiusHelsinki/api/Common/Restaurant/GetRssFeed/90810632-ebe7-4439-aef9-e9804576084a/1,-
Kotka,Kouvola,https://menu.leijonacatering.fi/AromieMenus/FI/Default/Leijona/KotkaUtti/api/Common/Restaurant/GetRssFeed/eee37987-be23-4206-9920-dee167f83099/1,https://menu.leijonacatering.fi/AromieMenus/FI/Default/Leijona/KotkaUtti/api/Common/Restaurant/GetRssFeed/9275bcec-39a2-4db1-8fc8-5a80db9d71bf/1
Liesi,Riihimäki,https://menu.leijonacatering.fi/AromieMenus/FI/Default/Leijona/LiesiOrava/api/Common/Restaurant/GetRssFeed/7617e7a3-9a73-4825-b543-e9afe51c44ee/1,https://menu.leijonacatering.fi/AromieMenus/FI/Default/Leijona/LiesiOrava/api/Common/Restaurant/GetRssFeed/6ec85b5e-c159-4a85-840f-9bedf79abee1/1
Linna,Pirkkala,https://menu.leijonacatering.fi/AromieMenus/FI/Default/Leijona/LinnaVekaranjarvi/api/Common/Restaurant/GetRssFeed/d763c987-c6fd-4ca9-af8d-5bf6ee2d31ec/1,https://menu.leijonacatering.fi/AromieMenus/FI/Default/Leijona/LinnaVekaranjarvi/api/Common/Restaurant/GetRssFeed/e7e542fb-f8d0-4d94-8342-404d5fd02959/1
Luonetti,Jyväskylä,https://menu.leijonacatering.fi/AromieMenus/FI/Default/Leijona/LuonettiTikkakoski/api/Common/Restaurant/GetRssFeed/e3dd1621-cb99-44f9-9993-cdd6ff1b95c7/1,https://menu.leijonacatering.fi/AromieMenus/FI/Default/Leijona/LuonettiTikkakoski/api/Common/Restaurant/GetRssFeed/88051a7a-04b8-4fe1-b4db-f83f2e338fe8/1
Poiju,Turku,https://menu.leijonacatering.fi/AromieMenus/FI/Default/Leijona/PoijuTurku/api/Common/Restaurant/GetRssFeed/018f1caf-e1d8-4ae7-8370-4a6e9bf78974/1,https://menu.leijonacatering.fi/AromieMenus/FI/Default/Leijona/PoijuTurku/api/Common/Restaurant/GetRssFeed/71ac7d03-f1c2-44b9-ba2a-fab8918c32f2/1
Raakuna,Lappeenranta,https://menu.leijonacatering.fi/AromieMenus/FI/Default/Leijona/RakuunaLappeenranta/api/Common/Restaurant/GetRssFeed/6729eca1-938c-4ce1-8601-fa105efd4b42/1,https://menu.leijonacatering.fi/AromieMenus/FI/Default/Leijona/RakuunaLappeenranta/api/Common/Restaurant/GetRssFeed/76e4e606-1b63-4adc-8f02-a755df29bd09/1
Rokka,Hamina,https://menu.leijonacatering.fi/AromieMenus/FI/Default/Leijona/RokkaHamina/api/Common/Restaurant/GetRssFeed/ba55efbe-69a9-438e-8383-b200b0d7178c/1,https://menu.leijonacatering.fi/AromieMenus/FI/Default/Leijona/RokkaHamina/api/Common/Restaurant/GetRssFeed/08bc1139-d021-40e2-8de0-4ce1ec123822/1
Ruben,Hattula,https://menu.leijonacatering.fi/AromieMenus/FI/Default/Leijona/RubenParola/api/Common/Restaurant/GetRssFeed/4911192a-210a-477f-93e0-49b14654c1ec/1,https://menu.leijonacatering.fi/AromieMenus/FI/Default/Leijona/RubenParola/api/Common/Restaurant/GetRssFeed/3bdc44c3-83a7-44df-a1e4-fa0bfc556735/1
Rumpalinpoika,Säkylä,https://menu.leijonacatering.fi/AromieMenus/FI/Default/Leijona/RumpalipoikaSakyla/api/Common/Restaurant/GetRssFeed/6e0dd88e-f037-4f54-8180-019c046de49e/1,https://menu.leijonacatering.fi/AromieMenus/FI/Default/Leijona/RumpalipoikaSakyla/api/Common/Restaurant/GetRssFeed/1273b9cc-ab50-4de3-9f12-5ea84f17741a/1
Sahara,Helsinki,https://menu.leijonacatering.fi/AromieMenus/FI/Default/Leijona/SaharaHelsinki/api/Common/Restaurant/GetRssFeed/c9b5578e-76b9-4113-adb0-c1b656ebc8fb/1,https://menu.leijonacatering.fi/AromieMenus/FI/Default/Leijona/SaharaHelsinki/api/Common/Restaurant/GetRssFeed/066041fb-8b62-4449-b302-849de4ad1c83/1
Somero,Rovaniemi,https://menu.leijonacatering.fi/AromieMenus/FI/Default/Leijona/SomeroRovaniemi/api/Common/Restaurant/GetRssFeed/e1fd1a63-70f6-47bb-8dc0-e313d7680bbf/1,https://menu.leijonacatering.fi/AromieMenus/FI/Default/Leijona/SomeroRovaniemi/api/Common/Restaurant/GetRssFeed/0328df5c-6b39-4eef-a110-bde715f4e3b0/1
Sääksi,Pirkkala,https://menu.leijonacatering.fi/AromieMenus/FI/Default/Leijona/SaaksiPirkkala/api/Common/Restaurant/GetRssFeed/ebede6f3-85ee-449c-a22e-b51da71d727a/1,https://menu.leijonacatering.fi/AromieMenus/FI/Default/Leijona/SaaksiPirkkala/api/Common/Restaurant/GetRssFeed/5b5aae5d-d87a-4818-a0bf-5c9496bbce53/1
Tähti,Sodankylä,https://menu.leijonacatering.fi/AromieMenus/FI/Default/Leijona/TahtiSodankyla/api/Common/Restaurant/GetRssFeed/9c0e7d5d-96fd-484d-b65d-09dd974afbd5/1,https://menu.leijonacatering.fi/AromieMenus/FI/Default/Leijona/TahtiSodankyla/api/Common/Restaurant/GetRssFeed/9c0e7d5d-96fd-484d-b65d-09dd974afbd5/1
